Sample_Name	Image_Name	Morphant	Treatment	Location	X_coord	Y_coord
SlincRMO_TCDD_2	72hpf_1ngTCDD_slincRMO_03	SlincR_MO	TCDD	D	174	-72
SlincRMO_TCDD_3	72hpf_1ngTCDD_slincRMO_05	SlincR_MO	TCDD	A	-101	97
SlincRMO_TCDD_3	72hpf_1ngTCDD_slincRMO_05	SlincR_MO	TCDD	B	108	100
SlincRMO_TCDD_3	72hpf_1ngTCDD_slincRMO_05	SlincR_MO	TCDD	C	-179	-73
SlincRMO_TCDD_3	72hpf_1ngTCDD_slincRMO_05	SlincR_MO	TCDD	D	172	-86
SlincRMO_TCDD_4	72hpf_1ngTCDD_slincRMO_06	SlincR_MO	TCDD	A	-121	125
SlincRMO_TCDD_4	72hpf_1ngTCDD_slincRMO_06	SlincR_MO	TCDD	B	103	127
SlincRMO_TCDD_4	72hpf_1ngTCDD_slincRMO_06	SlincR_MO	TCDD	C	-200	-101
SlincRMO_TCDD_4	72hpf_1ngTCDD_slincRMO_06	SlincR_MO	TCDD	D	183	-88
SlincRMO_TCDD_6	72hpf_1ngTCDD_slincRMO_08	SlincR_MO	TCDD	A	-93	133
SlincRMO_TCDD_6	72hpf_1ngTCDD_slincRMO_08	SlincR_MO	TCDD	B	101	135
SlincRMO_TCDD_6	72hpf_1ngTCDD_slincRMO_08	SlincR_MO	TCDD	C	-183	-75
SlincRMO_TCDD_6	72hpf_1ngTCDD_slincRMO_08	SlincR_MO	TCDD	D	167	-65
SlincRMO_TCDD_7	72hpf_1ngTCDD_slincRMO_10	SlincR_MO	TCDD	A	-119	166
SlincRMO_TCDD_7	72hpf_1ngTCDD_slincRMO_10	SlincR_MO	TCDD	B	99	168
SlincRMO_TCDD_7	72hpf_1ngTCDD_slincRMO_10	SlincR_MO	TCDD	C	-198	-54
SlincRMO_TCDD_7	72hpf_1ngTCDD_slincRMO_10	SlincR_MO	TCDD	D	189	-36
SlincRMO_TCDD_8	72hpf_1ngTCDD_slincRMO_11	SlincR_MO	TCDD	A	-87	142
SlincRMO_TCDD_8	72hpf_1ngTCDD_slincRMO_11	SlincR_MO	TCDD	B	90	142
SlincRMO_TCDD_8	72hpf_1ngTCDD_slincRMO_11	SlincR_MO	TCDD	C	-153	-26
SlincRMO_TCDD_8	72hpf_1ngTCDD_slincRMO_11	SlincR_MO	TCDD	D	167	-28
SlincRMO_TCDD_9	72hpf_1ngTCDD_slincRMO_12	SlincR_MO	TCDD	A	-108	129
SlincRMO_TCDD_9	72hpf_1ngTCDD_slincRMO_12	SlincR_MO	TCDD	B	103	131
SlincRMO_TCDD_9	72hpf_1ngTCDD_slincRMO_12	SlincR_MO	TCDD	C	-179	-37
SlincRMO_TCDD_9	72hpf_1ngTCDD_slincRMO_12	SlincR_MO	TCDD	D	166	-33
SlincRMO_TCDD_10	72hpf_1ngTCDD_slincRMO_13	SlincR_MO	TCDD	A	-116	129
SlincRMO_TCDD_10	72hpf_1ngTCDD_slincRMO_13	SlincR_MO	TCDD	B	121	134
SlincRMO_TCDD_10	72hpf_1ngTCDD_slincRMO_13	SlincR_MO	TCDD	C	-181	-64
SlincRMO_TCDD_10	72hpf_1ngTCDD_slincRMO_13	SlincR_MO	TCDD	D	190	-71
